Critical Dates,before,after,scores,First day price,Last day price,Actual Difference,Same_Polarity
2021-07-02,2021-06-27,2021-07-07,188492.75448100004,133.41,143.535,10.125,True
2021-11-23,2021-11-18,2021-11-28,1726093.1781171,153.71,159.565,5.85499999999999,True
2022-05-10,2022-05-05,2022-05-15,81934.8544927,163.85,144.59,-19.25999999999999,False
2022-07-22,2022-07-17,2022-07-27,670779.0912438,150.74,152.58,1.8400000000000036,True
2022-09-19,2022-09-14,2022-09-24,340799.1447904,154.785,151.19,-3.594999999999999,False
2022-12-20,2022-12-15,2022-12-25,-486786.1801887,141.11,130.92,-10.190000000000026,True
2023-01-27,2023-01-22,2023-02-01,295817.6985264,138.12,143.97,5.849999999999994,True
