Critical Dates,before,after,scores,First day price,Last day price,Actual Difference,Same_Polarity
2021-07-26,2021-07-21,2021-07-31,866594.5523506999,41.24,42.88,1.6400000000000006,True
2021-11-16,2021-11-11,2021-11-21,374452.7086618,49.23,51.96,2.730000000000004,True
2022-02-04,2022-01-30,2022-02-09,129690.0669966,54.0,51.64,-2.3599999999999994,False
2022-08-26,2022-08-21,2022-08-31,12408.295593600002,49.21,46.01,-3.200000000000003,False
2022-11-14,2022-11-09,2022-11-19,-51873.506320600005,47.16,48.64,1.480000000000004,False
2023-01-12,2023-01-07,2023-01-17,-28910.780211800004,50.05,46.54,-3.509999999999998,True
2023-02-27,2023-02-22,2023-03-04,-41318.137700800005,42.72,40.91,-1.8100000000000025,True
