Critical Dates,before,after,scores,First day price,Last day price,Actual Difference,Same_Polarity
2021-07-02,2021-06-27,2021-07-07,22171.914038100003,266.185,279.4,13.214999999999977,True
2021-10-26,2021-10-21,2021-10-31,53573.3272558,307.1702,324.13,16.959799999999973,True
2022-01-06,2022-01-01,2022-01-11,-5501.8396257,335.35,313.38,-21.970000000000027,True
2022-04-19,2022-04-14,2022-04-24,8716.6819385,288.09,281.68,-6.409999999999968,False
2022-09-19,2022-09-14,2022-09-24,31591.462388100004,253.53,239.54,-13.990000000000007,False
2023-01-27,2023-01-22,2023-02-01,24184.639055500003,241.1,248.0,6.900000000000006,True
2023-03-20,2023-03-15,2023-03-25,384353.6124433001,259.98,277.24,17.25999999999999,True
