Critical Dates,before,after,scores,First day price,Last day price,Actual Difference,Same_Polarity
2021-11-02,2021-10-28,2021-11-07,1304.3217051,248.78,301.87,53.09,True
2022-01-13,2022-01-08,2022-01-18,-296.96450000000004,265.81,262.6,-3.2099999999999795,True
2022-04-26,2022-04-21,2022-05-01,4221.235403800001,217.0915,194.02,-23.071499999999983,False
2022-09-02,2022-08-28,2022-09-07,1878.0727153,160.2,135.63,-24.569999999999997,False
2022-11-07,2022-11-02,2022-11-12,1174.2534021,138.5,158.075,19.57499999999999,True
2023-01-27,2023-01-22,2023-02-01,16478.9292819,180.64,196.91,16.27000000000001,True
2023-03-20,2023-03-15,2023-03-25,-1517.4676439999998,237.61,270.31,32.69999999999999,False
