Critical Dates,before,after,scores,First day price,Last day price,Actual Difference,Same_Polarity
2021-10-26,2021-10-21,2021-10-31,-247.6807452,230.7,209.21,-21.48999999999998,True
2022-09-19,2022-09-14,2022-09-24,-6033.617881100001,200.0,183.47,-16.53,True
