Critical Dates,before,after,scores,First day price,Last day price,Actual Difference,Same_Polarity
2021-09-14,2021-09-09,2021-09-19,376503.188804,171.19,164.3,-6.889999999999986,False
2021-12-15,2021-12-10,2021-12-20,2764.392428,165.57,167.81,2.240000000000009,True
2022-08-12,2022-08-07,2022-08-17,-270.5346319,171.3,166.41,-4.890000000000015,True
2022-10-24,2022-10-19,2022-10-29,1048.3818888,166.0,173.0,7.0,True
2023-01-27,2023-01-22,2023-02-01,-1640.3456295,169.1,162.99,-6.109999999999985,True
