Critical Dates,before,after,scores,First day price,Last day price,Actual Difference,Same_Polarity
2021-11-02,2021-10-28,2021-11-07,-231.4587169,55.08,54.11,-0.9699999999999988,True
2022-01-06,2022-01-01,2022-01-11,-1360347.8618229998,43.5,39.79,-3.710000000000001,True
2022-04-04,2022-03-30,2022-04-09,450714.4710911999,40.35,47.3,6.949999999999996,True
2022-05-10,2022-05-05,2022-05-15,-2239318.8607819,50.53,40.4,-10.130000000000004,True
2022-10-03,2022-09-28,2022-10-08,526252.2928893,42.59,49.02,6.43,True
